ColName,Type
Function,factor
StudyName,character
Year,integer
ShortTitle,character
TaskName,character
StudyNum,integer
ObsNum,integer
blank1,NULL
ExpMean,numeric
ExpSD,numeric
ExpN,integer
CurrentPhe,numeric
blank2,NULL
ControlMean,numeric
ControlSD,numeric
ControlN,integer
blank3,NULL
CohenDNotReversed,NULL
Reversed,integer
CohensDReversed,NULL
HedgesG,NULL
InputDataSMD,numeric
blank4,NULL
Age,numeric
AgeDietStart,NULL
AgeDietEnd,NULL
AgeDietStarts2,NULL
InputDataGlassDeltaSD,numeric
Tdiff,numeric